,IDs,xmol_step_400000,Subtypes
519,xmol_idx519,1,xmol_step_400000
520,xmol_idx520,1,xmol_step_400000
521,xmol_idx521,1,xmol_step_400000
522,xmol_idx522,1,xmol_step_400000
523,xmol_idx523,1,xmol_step_400000
524,xmol_idx524,1,xmol_step_400000
525,xmol_idx525,1,xmol_step_400000
526,xmol_idx526,1,xmol_step_400000
527,xmol_idx527,1,xmol_step_400000
528,xmol_idx528,1,xmol_step_400000
529,xmol_idx529,1,xmol_step_400000
530,xmol_idx530,1,xmol_step_400000
531,xmol_idx531,1,xmol_step_400000
532,xmol_idx532,1,xmol_step_400000
533,xmol_idx533,1,xmol_step_400000
534,xmol_idx534,1,xmol_step_400000
535,xmol_idx535,1,xmol_step_400000
536,xmol_idx536,1,xmol_step_400000
537,xmol_idx537,1,xmol_step_400000
538,xmol_idx538,1,xmol_step_400000
539,xmol_idx539,1,xmol_step_400000
540,xmol_idx540,1,xmol_step_400000
541,xmol_idx541,1,xmol_step_400000
542,xmol_idx542,1,xmol_step_400000
543,xmol_idx543,1,xmol_step_400000
544,xmol_idx544,1,xmol_step_400000
545,xmol_idx545,1,xmol_step_400000
546,xmol_idx546,1,xmol_step_400000
547,xmol_idx547,1,xmol_step_400000
548,xmol_idx548,1,xmol_step_400000
549,xmol_idx549,1,xmol_step_400000
550,xmol_idx550,1,xmol_step_400000
551,xmol_idx551,1,xmol_step_400000
552,xmol_idx552,1,xmol_step_400000
553,xmol_idx553,1,xmol_step_400000
554,xmol_idx554,1,xmol_step_400000
555,xmol_idx555,1,xmol_step_400000
556,xmol_idx556,1,xmol_step_400000
557,xmol_idx557,1,xmol_step_400000
558,xmol_idx558,1,xmol_step_400000
559,xmol_idx559,1,xmol_step_400000
560,xmol_idx560,1,xmol_step_400000
561,xmol_idx561,1,xmol_step_400000
562,xmol_idx562,1,xmol_step_400000
563,xmol_idx563,1,xmol_step_400000
564,xmol_idx564,1,xmol_step_400000
565,xmol_idx565,1,xmol_step_400000
566,xmol_idx566,1,xmol_step_400000
567,xmol_idx567,1,xmol_step_400000
568,xmol_idx568,1,xmol_step_400000
569,xmol_idx569,1,xmol_step_400000
570,xmol_idx570,1,xmol_step_400000
571,xmol_idx571,1,xmol_step_400000
572,xmol_idx572,1,xmol_step_400000
573,xmol_idx573,1,xmol_step_400000
574,xmol_idx574,1,xmol_step_400000
575,xmol_idx575,1,xmol_step_400000
576,xmol_idx576,1,xmol_step_400000
577,xmol_idx577,1,xmol_step_400000
578,xmol_idx578,1,xmol_step_400000
579,xmol_idx579,1,xmol_step_400000
580,xmol_idx580,1,xmol_step_400000
581,xmol_idx581,1,xmol_step_400000
582,xmol_idx582,1,xmol_step_400000
583,xmol_idx583,1,xmol_step_400000
584,xmol_idx584,1,xmol_step_400000
585,xmol_idx585,1,xmol_step_400000
586,xmol_idx586,1,xmol_step_400000
587,xmol_idx587,1,xmol_step_400000
588,xmol_idx588,1,xmol_step_400000
589,xmol_idx589,1,xmol_step_400000
590,xmol_idx590,1,xmol_step_400000
591,xmol_idx591,1,xmol_step_400000
592,xmol_idx592,1,xmol_step_400000
593,xmol_idx593,1,xmol_step_400000
594,xmol_idx594,1,xmol_step_400000
595,xmol_idx595,1,xmol_step_400000
596,xmol_idx596,1,xmol_step_400000
597,xmol_idx597,1,xmol_step_400000
598,xmol_idx598,1,xmol_step_400000
599,xmol_idx599,1,xmol_step_400000
600,xmol_idx600,1,xmol_step_400000
601,xmol_idx601,1,xmol_step_400000
602,xmol_idx602,1,xmol_step_400000
603,xmol_idx603,1,xmol_step_400000
604,xmol_idx604,1,xmol_step_400000
605,xmol_idx605,1,xmol_step_400000
606,xmol_idx606,1,xmol_step_400000
607,xmol_idx607,1,xmol_step_400000
608,xmol_idx608,1,xmol_step_400000
609,xmol_idx609,1,xmol_step_400000
610,xmol_idx610,1,xmol_step_400000
611,xmol_idx611,1,xmol_step_400000
612,xmol_idx612,1,xmol_step_400000
613,xmol_idx613,1,xmol_step_400000
614,xmol_idx614,1,xmol_step_400000
615,xmol_idx615,1,xmol_step_400000
616,xmol_idx616,1,xmol_step_400000
617,xmol_idx617,1,xmol_step_400000
618,xmol_idx618,1,xmol_step_400000
619,xmol_idx619,1,xmol_step_400000
620,xmol_idx620,1,xmol_step_400000
621,xmol_idx621,1,xmol_step_400000
622,xmol_idx622,1,xmol_step_400000
623,xmol_idx623,1,xmol_step_400000
624,xmol_idx624,1,xmol_step_400000
625,xmol_idx625,1,xmol_step_400000
626,xmol_idx626,1,xmol_step_400000
627,xmol_idx627,1,xmol_step_400000
628,xmol_idx628,1,xmol_step_400000
629,xmol_idx629,1,xmol_step_400000
630,xmol_idx630,1,xmol_step_400000
631,xmol_idx631,1,xmol_step_400000
632,xmol_idx632,1,xmol_step_400000
633,xmol_idx633,1,xmol_step_400000
634,xmol_idx634,1,xmol_step_400000
635,xmol_idx635,1,xmol_step_400000
636,xmol_idx636,1,xmol_step_400000
637,xmol_idx637,1,xmol_step_400000
638,xmol_idx638,1,xmol_step_400000
639,xmol_idx639,1,xmol_step_400000
640,xmol_idx640,1,xmol_step_400000
641,xmol_idx641,1,xmol_step_400000
642,xmol_idx642,1,xmol_step_400000
643,xmol_idx643,1,xmol_step_400000
644,xmol_idx644,1,xmol_step_400000
645,xmol_idx645,1,xmol_step_400000
646,xmol_idx646,1,xmol_step_400000
647,xmol_idx647,1,xmol_step_400000
648,xmol_idx648,1,xmol_step_400000
649,xmol_idx649,1,xmol_step_400000
650,xmol_idx650,1,xmol_step_400000
651,xmol_idx651,1,xmol_step_400000
652,xmol_idx652,1,xmol_step_400000
653,xmol_idx653,1,xmol_step_400000
654,xmol_idx654,1,xmol_step_400000
655,xmol_idx655,1,xmol_step_400000
656,xmol_idx656,1,xmol_step_400000
657,xmol_idx657,1,xmol_step_400000
658,xmol_idx658,1,xmol_step_400000
659,xmol_idx659,1,xmol_step_400000
660,xmol_idx660,1,xmol_step_400000
661,xmol_idx661,1,xmol_step_400000
