IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx206,0,1,0
esm2_t36_3B_UR50D_idx207,0,1,0
esm2_t36_3B_UR50D_idx208,0,1,0
esm2_t36_3B_UR50D_idx209,0,1,0
esm2_t36_3B_UR50D_idx210,0,1,0
esm2_t36_3B_UR50D_idx211,0,1,0
esm2_t36_3B_UR50D_idx212,0,1,0
esm2_t36_3B_UR50D_idx213,0,1,0
esm2_t36_3B_UR50D_idx214,0,1,0
esm2_t36_3B_UR50D_idx215,0,1,0
esm2_t36_3B_UR50D_idx216,0,1,0
esm2_t36_3B_UR50D_idx217,0,1,0
esm2_t36_3B_UR50D_idx218,0,1,0
esm2_t36_3B_UR50D_idx219,0,1,0
esm2_t36_3B_UR50D_idx220,0,1,0
esm2_t36_3B_UR50D_idx221,0,1,0
esm2_t36_3B_UR50D_idx222,0,1,0
esm2_t36_3B_UR50D_idx223,0,1,0
esm2_t36_3B_UR50D_idx224,0,1,0
esm2_t36_3B_UR50D_idx225,0,1,0
esm2_t36_3B_UR50D_idx226,0,1,0
esm2_t36_3B_UR50D_idx227,0,1,0
esm2_t36_3B_UR50D_idx228,0,1,0
esm2_t36_3B_UR50D_idx229,0,1,0
esm2_t36_3B_UR50D_idx230,0,1,0
esm2_t36_3B_UR50D_idx231,0,1,0
esm2_t36_3B_UR50D_idx232,0,1,0
esm2_t36_3B_UR50D_idx233,0,1,0
esm2_t36_3B_UR50D_idx234,0,1,0
esm2_t36_3B_UR50D_idx235,0,1,0
esm2_t36_3B_UR50D_idx236,0,1,0
esm2_t36_3B_UR50D_idx237,0,1,0
esm2_t36_3B_UR50D_idx238,0,1,0
esm2_t36_3B_UR50D_idx239,0,1,0
esm2_t36_3B_UR50D_idx240,0,1,0
esm2_t36_3B_UR50D_idx241,0,1,0
esm2_t36_3B_UR50D_idx242,0,1,0
esm2_t36_3B_UR50D_idx243,0,1,0
esm2_t36_3B_UR50D_idx244,0,1,0
esm2_t36_3B_UR50D_idx245,0,1,0
esm2_t36_3B_UR50D_idx246,0,1,0
esm2_t36_3B_UR50D_idx247,0,1,0
esm2_t36_3B_UR50D_idx248,0,1,0
esm2_t36_3B_UR50D_idx249,0,1,0
esm2_t36_3B_UR50D_idx250,0,1,0
esm2_t36_3B_UR50D_idx251,0,1,0
esm2_t36_3B_UR50D_idx252,0,1,0
esm2_t36_3B_UR50D_idx253,0,1,0
esm2_t36_3B_UR50D_idx254,0,1,0
esm2_t36_3B_UR50D_idx255,0,1,0
esm2_t36_3B_UR50D_idx256,0,1,0
esm2_t36_3B_UR50D_idx257,0,1,0
esm2_t36_3B_UR50D_idx258,0,1,0
esm2_t36_3B_UR50D_idx259,0,1,0
esm2_t36_3B_UR50D_idx260,0,1,0
esm2_t36_3B_UR50D_idx261,0,1,0
esm2_t36_3B_UR50D_idx262,0,1,0
esm2_t36_3B_UR50D_idx263,0,1,0
esm2_t36_3B_UR50D_idx264,0,1,0
esm2_t36_3B_UR50D_idx265,0,1,0
esm2_t36_3B_UR50D_idx266,0,1,0
esm2_t36_3B_UR50D_idx267,0,1,0
esm2_t36_3B_UR50D_idx268,0,1,0
esm2_t36_3B_UR50D_idx269,0,1,0
esm2_t36_3B_UR50D_idx270,0,1,0
esm2_t36_3B_UR50D_idx271,0,1,0
esm2_t36_3B_UR50D_idx272,0,1,0
esm2_t36_3B_UR50D_idx273,0,1,0
esm2_t36_3B_UR50D_idx274,0,1,0
esm2_t36_3B_UR50D_idx275,0,1,0
esm2_t36_3B_UR50D_idx276,0,1,0
