,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
158,esm2_t36_3B_UR50D_idx158,0,1,0,esm2_t36_3B_UR50D
159,esm2_t36_3B_UR50D_idx159,0,1,0,esm2_t36_3B_UR50D
160,esm2_t36_3B_UR50D_idx160,0,1,0,esm2_t36_3B_UR50D
161,esm2_t36_3B_UR50D_idx161,0,1,0,esm2_t36_3B_UR50D
162,esm2_t36_3B_UR50D_idx162,0,1,0,esm2_t36_3B_UR50D
163,esm2_t36_3B_UR50D_idx163,0,1,0,esm2_t36_3B_UR50D
164,esm2_t36_3B_UR50D_idx164,0,1,0,esm2_t36_3B_UR50D
165,esm2_t36_3B_UR50D_idx165,0,1,0,esm2_t36_3B_UR50D
166,esm2_t36_3B_UR50D_idx166,0,1,0,esm2_t36_3B_UR50D
167,esm2_t36_3B_UR50D_idx167,0,1,0,esm2_t36_3B_UR50D
168,esm2_t36_3B_UR50D_idx168,0,1,0,esm2_t36_3B_UR50D
169,esm2_t36_3B_UR50D_idx169,0,1,0,esm2_t36_3B_UR50D
170,esm2_t36_3B_UR50D_idx170,0,1,0,esm2_t36_3B_UR50D
171,esm2_t36_3B_UR50D_idx171,0,1,0,esm2_t36_3B_UR50D
172,esm2_t36_3B_UR50D_idx172,0,1,0,esm2_t36_3B_UR50D
173,esm2_t36_3B_UR50D_idx173,0,1,0,esm2_t36_3B_UR50D
174,esm2_t36_3B_UR50D_idx174,0,1,0,esm2_t36_3B_UR50D
175,esm2_t36_3B_UR50D_idx175,0,1,0,esm2_t36_3B_UR50D
176,esm2_t36_3B_UR50D_idx176,0,1,0,esm2_t36_3B_UR50D
177,esm2_t36_3B_UR50D_idx177,0,1,0,esm2_t36_3B_UR50D
178,esm2_t36_3B_UR50D_idx178,0,1,0,esm2_t36_3B_UR50D
179,esm2_t36_3B_UR50D_idx179,0,1,0,esm2_t36_3B_UR50D
180,esm2_t36_3B_UR50D_idx180,0,1,0,esm2_t36_3B_UR50D
181,esm2_t36_3B_UR50D_idx181,0,1,0,esm2_t36_3B_UR50D
182,esm2_t36_3B_UR50D_idx182,0,1,0,esm2_t36_3B_UR50D
183,esm2_t36_3B_UR50D_idx183,0,1,0,esm2_t36_3B_UR50D
184,esm2_t36_3B_UR50D_idx184,0,1,0,esm2_t36_3B_UR50D
